id,week_offset,week_label,rank,title,artist,likes,crawled_at
195,0,2026.04.06 ~ 2026.04.12,95,One More Night,방탄소년단,23020,2026-05-26 15:47:04
196,0,2026.04.06 ~ 2026.04.12,96,Hype Boy,NewJeans,315852,2026-05-26 15:47:04
197,0,2026.04.06 ~ 2026.04.12,97,they don’t know ’bout us,방탄소년단,23206,2026-05-26 15:47:04
198,0,2026.04.06 ~ 2026.04.12,98,Please,방탄소년단,23942,2026-05-26 15:47:04
199,0,2026.04.06 ~ 2026.04.12,99,벌레를 내고,AKMU (악뮤),8530,2026-05-26 15:47:04
200,0,2026.04.06 ~ 2026.04.12,100,봄 내음보다 너를,김나영,129673,2026-05-26 15:47:04
201,0,2026.04.13 ~ 2026.04.19,1,기쁨\, 슬픔\, 아름다운 마음,AKMU (악뮤),79259,2026-05-26 15:47:04
202,0,2026.04.13 ~ 2026.04.19,2,소문의 낙원,AKMU (악뮤),74299,2026-05-26 15:47:04
203,0,2026.04.13 ~ 2026.04.19,3,RUDE!,Hearts2Hearts (하츠투하츠),63368,2026-05-26 15:47:04
204,0,2026.04.13 ~ 2026.04.19,4,BANG BANG,IVE (아이브),64208,2026-05-26 15:47:04
205,0,2026.04.13 ~ 2026.04.19,5,404 (New Era),KiiiKiii (키키),66002,2026-05-26 15:47:04
206,0,2026.04.13 ~ 2026.04.19,6,사랑하게 될 거야,한로로,134530,2026-05-26 15:47:04
207,0,2026.04.13 ~ 2026.04.19,7,Drowning,WOODZ,300622,2026-05-26 15:47:04
208,0,2026.04.13 ~ 2026.04.19,8,Good Goodbye,화사 (HWASA),119761,2026-05-26 15:47:04
209,0,2026.04.13 ~ 2026.04.19,9,SWIM,방탄소년단,60888,2026-05-26 15:47:04
210,0,2026.04.13 ~ 2026.04.19,10,0+0,한로로,106519,2026-05-26 15:47:04
211,0,2026.04.13 ~ 2026.04.19,11,타임캡슐,다비치,72432,2026-05-26 15:47:04
212,0,2026.04.13 ~ 2026.04.19,12,멸종위기사랑,이찬혁,99361,2026-05-26 15:47:04
213,0,2026.04.13 ~ 2026.04.19,13,그대 작은 나의 세상이 되어,카더가든,83793,2026-05-26 15:47:04
214,0,2026.04.13 ~ 2026.04.19,14,너에게 닿기를,10CM,151016,2026-05-26 15:47:04
215,0,2026.04.13 ~ 2026.04.19,15,"어떻게 이별까지 사랑하겠어\, 널 사랑하는 거지",AKMU (악뮤),497436,2026-05-26 15:47:04
216,0,2026.04.13 ~ 2026.04.19,16,Body to Body,방탄소년단,46266,2026-05-26 15:47:04
217,0,2026.04.13 ~ 2026.04.19,17,Popcorn,도경수(D.O.),82182,2026-05-26 15:47:04
218,0,2026.04.13 ~ 2026.04.19,18,어제보다 슬픈 오늘,우디 (Woody),85786,2026-05-26 15:47:04
219,0,2026.04.13 ~ 2026.04.19,19,Blue Valentine,NMIXX,116957,2026-05-26 15:47:04
220,0,2026.04.13 ~ 2026.04.19,20,TICK TOCK (Feat. ZICO) (Prod. by ZICO\, Crush),김하온 (HAON)\, Nosun\, Raf Sandou\, Marv\, 정준혁,39119,2026-05-26 15:47:04
221,0,2026.04.13 ~ 2026.04.19,21,너의 모든 순간,성시경,323979,2026-05-26 15:47:04
222,0,2026.04.13 ~ 2026.04.19,22,Golden,"HUNTR/X\, EJAE\, AUDREY NUNA\, REI AMI\, KPop Demon Hunters Cast",192148,2026-05-26 15:47:04
223,0,2026.04.13 ~ 2026.04.19,23,뛰어(JUMP),BLACKPINK,97001,2026-05-26 15:47:04
224,0,2026.04.13 ~ 2026.04.19,24,캐치 캐치,YENA (최예나),34066,2026-05-26 15:47:04
225,0,2026.04.13 ~ 2026.04.19,25,모르시나요(PROD.로코베리),조째즈,107849,2026-05-26 15:47:04
226,0,2026.04.13 ~ 2026.04.19,26,BLACKHOLE,IVE (아이브),39132,2026-05-26 15:47:04
227,0,2026.04.13 ~ 2026.04.19,27,toxic till the end,로제 (ROSÉ),155503,2026-05-26 15:47:04
